2024-05-05 16:20:41,480,Episode Start - Observation: [0 0 0 0 0]
2024-05-05 16:20:41,500,Step: 5, Action: 0, Reward: 10.5, Observation: [2 0 1 0 0], Done: False
2024-05-05 16:20:41,507,Step: 10, Action: 4, Reward: 10.7, Observation: [3 1 1 0 4], Done: False
2024-05-05 16:20:41,515,Step: 15, Action: 0, Reward: 10.8, Observation: [3 3 2 1 0], Done: False
2024-05-05 16:20:41,524,Step: 20, Action: 4, Reward: 10.9, Observation: [4 6 2 1 4], Done: False
2024-05-05 16:20:41,533,Step: 25, Action: 0, Reward: 10.3, Observation: [5 6 1 2 0], Done: False
2024-05-05 16:20:41,541,Step: 30, Action: 4, Reward: 11.2, Observation: [6 8 2 3 4], Done: False
2024-05-05 16:20:41,549,Step: 35, Action: 4, Reward: 10.9, Observation: [8 7 3 4 4], Done: False
2024-05-05 16:20:41,558,Step: 40, Action: 1, Reward: 10.9, Observation: [8 5 6 6 1], Done: False
2024-05-05 16:20:41,568,Step: 45, Action: 2, Reward: 11.1, Observation: [9 6 7 5 2], Done: False
2024-05-05 16:20:41,577,Step: 50, Action: 1, Reward: 9.8, Observation: [10  5  9  5  1], Done: False
2024-05-05 16:20:41,586,Step: 55, Action: 2, Reward: 10.3, Observation: [10  8 10  6  2], Done: False
2024-05-05 16:20:41,596,Step: 60, Action: 1, Reward: 9.3, Observation: [10  6 11  6  1], Done: False
2024-05-05 16:20:41,607,Step: 65, Action: 2, Reward: 8.4, Observation: [12  6 13  5  2], Done: False
2024-05-05 16:20:41,618,Step: 70, Action: 4, Reward: 7.9, Observation: [14  6 14  6  4], Done: False
2024-05-05 16:20:41,627,Step: 75, Action: 4, Reward: 6.1000000000000005, Observation: [15  7 15  6  4], Done: False
2024-05-05 16:20:41,638,Step: 80, Action: 2, Reward: 5.1000000000000005, Observation: [16  8 16  5  2], Done: False
2024-05-05 16:20:41,650,Step: 85, Action: 0, Reward: 4.800000000000001, Observation: [18  9 14  5  0], Done: False
2024-05-05 16:20:41,660,Step: 90, Action: 1, Reward: 8.1, Observation: [20  8 13  7  1], Done: False
2024-05-05 16:20:41,671,Step: 95, Action: 4, Reward: 6.6000000000000005, Observation: [21  8 15  8  4], Done: False
2024-05-05 16:20:41,681,Step: 100, Action: 3, Reward: 5.7, Observation: [19 10 16  9  3], Done: False
2024-05-05 16:20:41,691,Step: 105, Action: 1, Reward: 9.3, Observation: [18  9 19 11  1], Done: False
2024-05-05 16:20:41,703,Step: 110, Action: 4, Reward: 6.800000000000002, Observation: [19  9 22 14  4], Done: False
2024-05-05 16:20:41,712,Step: 115, Action: 2, Reward: 3.9000000000000012, Observation: [21  9 24 11  2], Done: False
2024-05-05 16:20:41,723,Step: 120, Action: 0, Reward: 3.7, Observation: [22  9 26 10  0], Done: False
2024-05-05 16:20:41,735,Step: 125, Action: 1, Reward: 6.5, Observation: [24 10 22 12  1], Done: False
2024-05-05 16:20:41,745,Step: 130, Action: 2, Reward: 6.1000000000000005, Observation: [27 11 21 10  2], Done: False
2024-05-05 16:20:41,756,Step: 135, Action: 2, Reward: 3.6000000000000014, Observation: [30 12 22  5  2], Done: False
2024-05-05 16:20:41,768,Step: 140, Action: 3, Reward: 1.3000000000000007, Observation: [30 15 23  3  3], Done: False
2024-05-05 16:20:41,779,Step: 145, Action: 2, Reward: 4.2, Observation: [28 16 24  4  2], Done: False
2024-05-05 16:20:41,790,Step: 150, Action: 2, Reward: 2.700000000000002, Observation: [30 19 24  4  2], Done: False
2024-05-05 16:20:41,802,Step: 155, Action: 3, Reward: -0.10000000000000142, Observation: [30 21 26  5  3], Done: False
2024-05-05 16:20:41,814,Step: 160, Action: 1, Reward: 2.8, Observation: [28 22 29  5  1], Done: False
2024-05-05 16:20:41,825,Step: 165, Action: 3, Reward: 7.600000000000001, Observation: [25 21 31  7  3], Done: False
2024-05-05 16:20:41,847,Step: 170, Action: 4, Reward: 5.800000000000001, Observation: [23 23 33  7  4], Done: False
2024-05-05 16:20:41,857,Step: 175, Action: 4, Reward: 0.5, Observation: [26 23 33  8  4], Done: False
2024-05-05 16:20:41,869,Step: 180, Action: 1, Reward: -4.899999999999999, Observation: [28 23 37  8  1], Done: False
2024-05-05 16:20:41,880,Step: 185, Action: 3, Reward: -0.6999999999999993, Observation: [27 20 37  8  3], Done: False
